windowId,zoneId,customizationStartDay,customizationStartTime,customizationEndDay,customizationEndTime,dispatchDay,dispatchTime,startDay,startTime,endDay,endTime,fulfillmentCenterId,deliveryPrice,subtotalMin,deliveryProvider,orderBy,isVisible,smsNotifications,packDateOffset,carrierDaysInTransit,messageToUser
a67aa29a-295f-4109-ae0c-68c8b38bc457,ed333e3c-d145-4c40-959e-32bf2bd9dac1,4,14:00:00,6,11:00:00,6,17:00:00,2,05:00:00,2,20:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
16a4c383-912b-4ba2-82db-f07de519586a,d54a502a-639f-4d0c-8c9c-a0520537f596,4,14:00:00,6,11:00:00,6,17:00:00,2,05:00:00,2,20:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
5c69b3c5-0077-4861-bc47-b571127712fd,09beb073-e11e-49a0-9e8d-0b640317dad5,4,15:00:00,6,12:00:00,6,18:00:00,2,05:00:00,2,21:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
871598f9-6759-4ebf-8139-8a8e148bb261,5115c018-4299-4fa3-9f65-f75e34e2db55,4,15:00:00,6,12:00:00,6,18:00:00,2,05:00:00,2,21:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
8f3c09f5-e339-407f-92a0-5c15c4d093bf,1b572488-cdca-4732-ac30-2f54c49a042c,4,15:00:00,6,12:00:00,6,18:00:00,2,05:00:00,2,21:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
078f4fcf-6a25-450d-bf56-49b03fd05b8b,2a53a587-da2c-45fe-8a1c-099db6441313,4,15:00:00,6,12:00:00,6,18:00:00,2,05:00:00,2,21:00:00,c059b389-ff65-4283-8edb-06ffc96193af,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
c55c029f-a513-4699-9ed2-7e94255eb503,887cdd63-24f4-4d6a-8860-e246f958cefc,4,15:00:00,6,12:00:00,6,15:00:00,2,05:00:00,2,21:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
ae201e98-5ed1-4bb5-b956-91c0f16673a3,ac30b44a-acf9-4f6f-934f-9700a6d12a77,4,14:00:00,6,11:00:00,6,14:00:00,2,05:00:00,2,20:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
4994e284-f871-4823-ac24-e0fdd582a61b,b06d9f71-c062-4c54-a5ef-6773ea946dea,4,14:00:00,6,11:00:00,6,15:00:00,2,05:00:00,2,21:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
7b2740a5-2bde-492e-b948-a33a7fe5ca25,d152b910-575a-49f9-b42e-09dbdd47e46c,4,14:00:00,6,11:00:00,6,15:00:00,2,05:00:00,2,21:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
d5824bd4-75a3-45eb-ba5b-f5c2992274f2,34e11f8d-ae17-4458-b519-bdbcbbb08ff5,4,15:00:00,6,12:00:00,6,15:00:00,2,05:00:00,2,21:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
7a74c845-2fed-41b7-b73d-d1cee061d831,c0e3d0ef-fedb-4cec-81cb-54d44f1f25c5,4,15:00:00,6,12:00:00,6,15:00:00,2,05:00:00,2,21:00:00,9da947fe-5a46-424f-b328-e9414c197a32,5.99,,Bringg,1000,FALSE,TRUE,1,,christmas-window-exceptions-2022
