old_window_id,FC Name,Zone Code,City Name,Original Delivery Day,Exception Delivery Day,Original Delivery Date,Exception Delivery Date,Is Employee Zone
baf11358-e9bb-443f-8b63-e8e108bc9665,BWI,BRX,Bronx,Wednesday,Thursday,3,4,FALSE
8d36da6c-95ad-422b-83fa-d67a35abfe02,BWI,LIM,Long Island,Wednesday,Thursday,3,4,FALSE
89b4d9db-cb6c-48ff-8c5a-8220d2bcfe31,BWI,EWR,Newark,Wednesday,Thursday,3,4,FALSE
7ddd2473-3167-47ae-a492-100f87048405,BWI,BWI,Severn,Wednesday,Thursday,3,4,FALSE
7a7e2a86-dc91-44b4-8d68-ada60f0f20f6,CHI,DAY,Dayton,Wednesday,Thursday,3,4,FALSE
0175cdaf-e972-44b6-ace8-cb591a2cdef8,CHI,IND,Indianapolis,Wednesday,Thursday,3,4,FALSE
fb76ba2c-bc7d-4e2d-a150-a28b036ef400,CHI,LOU,Louisville,Wednesday,Thursday,3,4,FALSE
9d9023bf-90f7-4435-a6af-79764cafad53,CHI,MSN,Madison WI,Wednesday,Thursday,3,4,FALSE
9a348ab1-8d21-4ce7-83ac-7558adbd8329,CHI,MKE,Milwaukee,Wednesday,Thursday,3,4,FALSE
37e0afb9-bae8-4e80-95ef-0ba1c2cd9bce,CHI,MSP,Minneapolis-Saint Paul,Wednesday,Thursday,3,4,FALSE
b4bfb6ac-2215-45c9-9556-8c9d04a11351,CHI,BNA,Nashville,Wednesday,Thursday,3,4,FALSE
ecc5a31c-38a7-4b93-a40a-3614405039a1,LA,DEN,Denver,Wednesday,Thursday,3,4,FALSE
1099ad9f-8ae8-4f32-92c6-16fe85d93072,LA,LAS,Las Vegas,Wednesday,Thursday,3,4,FALSE
104b7818-2787-4e95-86a6-a6976ac27bfe,LA,SLC,Salt Lake City,Wednesday,Thursday,3,4,FALSE
6b39dc99-b778-4e97-bf2e-b9eda413e026,LA,PHX,Phoenix,Wednesday,Thursday,3,4,FALSE
7501eee2-0b00-431b-b46c-451d50a83497,LA,TUS,Tucson,Wednesday,Thursday,3,4,FALSE
098906eb-ee14-4f34-9f48-88644db63db0,LA,SBA,Santa Barbara,Wednesday,Thursday,3,4,FALSE
aa0a5fb1-c0dc-4c41-be2d-0d5db6e0a7a8,LA,LAX,Los Angeles,Wednesday,Thursday,3,4,FALSE
66d6b3b8-60ea-45eb-b986-bbd3dbb23b71,LA,EBY,Pittsburg CA,Wednesday,Thursday,3,4,FALSE
33b8726b-29d5-4a36-b6b7-24cec4c16212,PNW,BLI,Bellingham,Thursday,Friday,4,5,FALSE
a5a1ea5a-b7e2-4055-a64b-86c3766b11fb,PNW,BDN,Bend,Thursday,Friday,4,5,FALSE
a1df03a8-b175-484e-a09a-ce9c3b17e012,PNW,BOI,Boise,Thursday,Friday,4,5,FALSE
a255969a-8336-4033-9fac-dcc6fdaa8f9d,PNW,EUG,Eugene,Thursday,Friday,4,5,FALSE
d4ba34e7-346a-4114-b359-2cddf0e32961,PNW,OLM,Olympia,Thursday,Friday,4,5,FALSE
cd564b4c-419c-4af1-8b39-32743663d14e,PNW,PDX,Portland,Thursday,Friday,4,5,FALSE
38ebca8e-6bc8-4d6a-abdc-0817cc79ac08,PNW,SEA,Seattle,Thursday,Friday,4,5,FALSE
9764c226-d3fb-4ca6-9498-7788fd1e2071,PNW,SPK,Spokane,Thursday,Friday,4,5,FALSE
7b64c42d-6cd0-47dd-bc6b-22098565ac4d,BWI,BRX,Bronx,Thursday,Friday,4,5,FALSE
2c46e668-3337-4929-bd15-95d5769103c3,BWI,LIM,Long Island,Thursday,Friday,4,5,FALSE
b5975bc1-140f-4fd7-a8e0-70a352abe01d,BWI,EWR,Newark,Thursday,Friday,4,5,FALSE
0a9067fe-e243-4c35-8f97-a213f26eb41e,CHI,BNA,Nashville,Thursday,Friday,4,5,FALSE
89dcbf4e-db78-4013-bc29-2770bd33a1ec,CHI,MKE,Milwaukee,Thursday,Friday,4,5,FALSE
786f9695-d721-4332-8e95-b5bf7ee1e398,CHI,MSN,Madison WI,Thursday,Friday,4,5,FALSE
e5dbebd6-16bd-4239-aa66-2e1aa42c3c2c,CHI,MSP,Minneapolis-Saint Paul,Thursday,Friday,4,5,FALSE
