Zone ID,FC Abbreviation,Zone Name,Christmas or New Years,Pack Date,Delivery Date,Custo Open Date / Time,Custo Close Date / Time,Dispatch Date / Time
44d302e2-deb0-4fe1-a801-3c6d5fa94729,LA,SNA: MONDAY / TUESDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Sunday, 01/01 - 03:00 PM"
ad83bd3e-ddae-4aa2-bf02-34245dd8dde2,LA,SNA: THURSDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Tuesday, 01/03 - 12:00 PM","Tuesday, 01/03 - 03:00 PM"
08c80929-d550-4081-a934-583a6f1b55b0,LA,SNA: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Saturday, 12/31 - 03:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 03:00 PM"
09beb073-e11e-49a0-9e8d-0b640317dad5,CHI,MSN: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 03:00 PM","Saturday, 12/31 - 12:00 PM","Saturday, 12/31 - 06:00 PM"
8f790b0f-2bc4-44c0-981f-b8bd70a90c1a,CHI,MSN: TUESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
3096692c-6773-46f1-a8e6-95530e2712b1,CHI,MSN: WEDNESDAY PM,New Years,1/4/2023,1/5/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
61927e3c-7a56-4149-bb58-4d85c9c5b6b1,CHI,MSN: THURSDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Tuesday, 01/03 - 03:00 PM","Tuesday, 01/03 - 09:00 PM"
383eb230-09b8-481e-b879-eff2e97d6ddf,CHI,DSM: WEDNESDAY PM,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
d152b910-575a-49f9-b42e-09dbdd47e46c,LA,TUS: MONDAY PM,New Years,1/2/2023,1/3/2023,"Thursday, 12/29 - 02:00 PM","Saturday, 12/31 - 11:00 AM","Saturday, 12/31 - 03:00 PM"
d55410dd-4dd5-4bc9-a561-9a1448ef3c1a,CHI,DSM: FRIDAY PM,New Years,1/5/2023,1/6/2023,"Monday, 01/02 - 01:00 PM","Wednesday, 01/04 - 12:00 PM","Wednesday, 01/04 - 06:00 PM"
9696167d-2294-45f5-8780-1a510a4c9271,LA,TUS: TUESDAY PM,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 02:00 PM","Sunday, 01/01 - 11:00 AM","Sunday, 01/01 - 03:00 PM"
26356ac8-f9e8-436f-a846-12847e291168,CHI,BNA: Employee Warehouse Pick Up,New Years,1/3/2023,1/4/2023,"Friday, 12/30 - 03:00 PM","Monday, 01/02 - 12:00 PM","Monday, 01/02 - 06:00 PM"
6d3dc4e9-1a11-4e29-a918-3ccc4f8e5af1,BWI,LIM: TUESDAY,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 06:00 PM"
040a0686-bad2-4827-82e1-ab76e3d244cb,LA,EBY: TUESDAY PM LAX,New Years,1/3/2023,1/4/2023,"Thursday, 12/29 - 03:00 PM","Sunday, 01/01 - 12:00 PM","Sunday, 01/01 - 03:00 PM"
