windowExceptionId,originalWindowId,originalDeliveryDay,replacementDeliveryDay,originalDeliveryDate,replacementWindowId,replacementDeliveryDate,Christmas or New Years,reason,canDonate,donationPartnerIds
e9512b12-b23d-4831-a77e-4afca3f94226,4ad11863-b276-4326-8a2b-cbb1bd583bb3,1,2,2022-12-26,92dd3d8c-518e-4951-88e8-2e4cca36f2f0,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
feedcb46-f4d4-4f9d-9026-147dba2f900c,e05a3bbd-2e2f-426c-9d27-f3a724dc8596,1,2,2022-12-26,59339e34-6abf-4741-9ec2-fcc9f9b3b09f,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
08b89606-4982-4d1e-bb55-d879fb1ae2d1,d2b4ffcc-73c0-4b95-a119-2f56c80821fa,1,2,2022-12-26,895a9496-63a9-4ac3-b215-8dd53501c0cb,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
32db8a43-93ec-4c3c-805b-05bbbe17ff5e,d998d7cb-0232-4e05-8f45-0c43ecd3e020,1,2,2022-12-26,88485589-0ee3-4aef-8331-a40a6cfa024a,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
a5ca67db-4c32-41b4-925d-ccad2cbf74b0,0f0d3e31-e6f2-4717-8ff9-982e9df242d4,1,2,2022-12-26,7edde621-ad5d-401e-9b12-5f81f1daa162,2022-12-27,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Tuesday, 12/27 instead of Monday, 12/26",FALSE,[]
c0f3768f-dc47-4604-ac45-7711381911a8,9a32d9ce-44a7-454d-96aa-1da6897adfcf,2,3,2022-12-27,a6fbefbb-bd13-471e-a774-864358a85809,2022-12-28,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Wednesday, 12/28 instead of Tuesday, 12/27",FALSE,[]
cd524f31-34db-477c-99f8-05dab9976bbf,de6cd28d-3674-4947-bd2c-ad553da80ff4,2,3,2022-12-27,0e7ab129-6414-467c-b1f5-0e714b636f08,2022-12-28,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Wednesday, 12/28 instead of Tuesday, 12/27",FALSE,[]
439d25e8-005b-4fc8-8fb4-f2636a6dad5d,82e37986-8179-4879-b3f6-db198594c0ed,2,3,2022-12-27,f7b12ec5-1f38-4111-89a7-c4daa85b2acd,2022-12-28,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Wednesday, 12/28 instead of Tuesday, 12/27",FALSE,[]
721b2bf6-df31-4ac8-b2ec-c3ba55d2e0fa,98e1a72e-99c3-4f8c-a549-76d1fddd1622,2,3,2022-12-27,b9ff51d2-686e-455d-a13b-d6aaa741a49e,2022-12-28,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Wednesday, 12/28 instead of Tuesday, 12/27",FALSE,[]
e34cc797-29bc-4bbe-bf0a-c1fab2daab2f,5a820b7a-b29f-40de-9964-64e833f5ec1f,2,3,2022-12-27,80530fa0-ba4c-4a87-b80d-7ffd3f0536b2,2022-12-28,Christmas,"Special holiday schedule: Due to Christmas, your order will be delivered on Wednesday, 12/28 instead of Tuesday, 12/27",FALSE,[]
